Designator,Footprint,Quantity,Value,LCSC Part #
"S1, S10, S11, S12, S13, S14, S15, S16, S17, S18, S2, S3, S4, S5, S6, S7, S8, S9",MX_PCB_1.00u_Reversable,18,Keyswitch,
U1,Raspberry_Pi_Pico,1,Raspberry_Pi_Pico,
"U2, U3",TRRS-PJ-320D,2,TRRS,
